entry_date,exit_date,entry_price,exit_price,return_pct,hold_bars,exit_reason,high_conv,ticker
2023-12-11,2024-03-11,2.73,4.9,79.5,13,WT_SELL,True,ABSI
2024-03-25,2024-04-15,5.68,4.77,-16.0,3,WT_SELL,False,ABSI
2014-12-22,2016-10-31,105.3,170.11,61.5,97,WT_SELL+,False,ACB
2017-09-18,2017-12-11,261.52,634.02,142.4,12,WT_SELL+,False,ACB
2020-08-03,2021-01-11,49.95,80.85,61.9,23,WT_SELL+,False,AEVA
2021-02-15,2025-07-07,97.5,26.1,-73.2,229,WT_SELL+,False,AEVA
2015-01-12,2015-02-23,10.17,10.2,0.3,6,WT_SELL+,False,ALDX
2016-09-26,2018-03-26,7.82,7.5,-4.1,78,WT_SELL,True,ALDX
2018-09-24,2021-02-22,13.8,12.26,-11.2,126,WT_SELL+,False,ALDX
2022-08-01,2023-04-24,6.92,9.53,37.7,38,WT_SELL+,True,ALDX
2023-06-05,2023-06-19,11.09,7.11,-35.9,2,WT_SELL,False,ALDX
2020-01-27,2020-02-24,27.94,27.48,-1.6,4,WT_SELL,False,ALEC
2021-01-11,2021-07-26,16.87,24.03,42.5,28,WT_SELL+,False,ALEC
2025-07-21,2025-10-13,1.76,3.04,72.7,12,WT_SELL+,True,ALEC
2020-02-24,2020-06-15,3.7,7.4,100.0,16,WT_SELL+,True,ALT
2021-02-08,2024-01-22,22.22,9.33,-58.0,154,WT_SELL,False,ALT
2026-05-04,2026-06-15,7.97,8.43,5.8,6,WT_SELL+,True,AMWL
2017-09-11,2018-01-29,21.38,69.87,226.8,20,WT_SELL+,False,ANAB
2018-09-24,2021-11-22,66.51,20.75,-68.8,165,WT_SELL+,False,ANAB
2021-12-20,2022-01-03,24.71,21.84,-11.6,2,WT_SELL+,False,ANAB
2022-10-10,2024-09-02,17.68,23.93,35.4,99,WT_SELL+,False,ANAB
2025-06-09,2026-01-05,15.55,29.78,91.6,30,WT_SELL+,False,ANAB
2014-11-24,2016-10-31,26.77,12.7,-52.6,101,WT_SELL,False,ARDX
2019-03-18,2019-12-30,3.35,7.24,116.1,41,WT_SELL+,True,ARDX
2020-02-17,2023-01-23,8.02,2.85,-64.5,153,WT_SELL+,False,ARDX
2023-12-11,2024-02-12,5.91,9.04,53.0,9,WT_SELL+,False,ARDX
2025-08-11,2026-02-09,5.97,6.87,15.1,26,WT_SELL,True,ARDX
2021-06-14,2021-10-04,57.8,105.45,82.4,16,WT_SELL+,False,ASAN
2024-01-08,2025-09-08,1.96,4.63,136.2,87,WT_SELL+,True,ATAI
2024-02-26,2024-07-22,25.0,30.4,21.6,21,WT_SELL,True,BARK
2021-10-25,2025-01-13,9.97,3.92,-60.7,168,WT_SELL+,False,BBAI
2025-02-03,2025-02-24,8.59,5.16,-39.9,3,WT_SELL+,False,BBAI
2025-06-30,2025-08-04,7.75,7.14,-7.9,5,WT_SELL,False,BBAI
2020-07-13,2021-02-01,82.64,85.36,3.3,29,WT_SELL+,False,BKSY
2021-02-15,2021-03-08,119.92,92.08,-23.2,3,WT_SELL+,True,BKSY
2021-09-06,2025-03-03,88.0,9.86,-88.8,182,WT_SELL,False,BKSY
2025-06-30,2025-07-28,21.48,18.86,-12.2,4,WT_SELL,False,BKSY
2025-10-06,2025-10-27,26.75,21.12,-21.0,3,WT_SELL,False,BKSY
2026-04-06,2026-06-01,34.14,34.76,1.8,8,WT_SELL+,False,BKSY
2012-11-05,2020-08-17,100.0,6.8,-93.2,406,WT_SELL+,True,BLNK
2020-11-16,2021-01-11,22.67,47.1,107.8,8,WT_SELL+,False,BLNK
2021-11-15,2025-10-27,43.08,1.7,-96.1,206,WT_SELL+,False,BLNK
2020-06-15,2020-10-26,158.28,142.43,-10.0,19,WT_SELL,True,BYND
2015-10-26,2016-08-29,20.68,29.5,42.6,44,WT_SELL+,True,CGC
2017-02-06,2017-02-27,94.8,87.99,-7.2,3,WT_SELL+,False,CGC
2017-09-11,2017-11-27,84.2,142.01,68.7,11,WT_SELL+,False,CGC
2018-06-18,2018-07-02,327.7,300.4,-8.3,2,WT_SELL,False,CGC
2018-08-20,2018-10-01,450.0,474.9,5.5,6,WT_SELL+,False,CGC
2020-11-09,2021-02-22,244.3,327.5,34.1,15,WT_SELL+,False,CGC
2015-03-02,2016-09-26,8.3,7.09,-14.6,82,WT_SELL,True,CHGG
2016-11-07,2016-12-12,8.05,7.89,-2.0,5,WT_SELL,True,CHGG
2017-05-01,2017-06-12,11.49,11.68,1.7,6,WT_SELL+,False,CHGG
2017-09-11,2017-10-30,14.59,14.74,1.0,7,WT_SELL,False,CHGG
2018-02-19,2018-03-26,20.35,20.66,1.5,5,WT_SELL+,False,CHGG
2018-08-06,2018-09-17,29.51,31.52,6.8,6,WT_SELL+,False,CHGG
2019-01-28,2019-03-18,35.4,36.76,3.8,7,WT_SELL+,False,CHGG
2019-07-29,2019-08-12,44.76,40.46,-9.6,2,WT_SELL+,False,CHGG
2020-01-13,2020-08-17,43.33,77.79,79.5,31,WT_SELL+,False,CHGG
2021-01-04,2021-02-22,96.63,96.53,-0.1,7,WT_SELL,False,CHGG
2020-02-24,2020-08-24,199.4,204.0,2.3,26,WT_SELL+,False,CHPT
2021-11-01,2025-11-03,48.96,5.45,-88.9,209,WT_SELL,True,CMPS
2014-06-02,2015-04-27,15.2,21.13,39.0,47,WT_SELL+,False,COTY
2015-06-01,2015-07-13,22.23,23.67,6.5,6,WT_SELL+,False,COTY
2017-12-25,2021-05-10,18.09,8.95,-50.5,176,WT_SELL,True,COTY
2023-01-02,2023-03-13,9.2,10.87,18.2,10,WT_SELL,False,COTY
2022-09-05,2025-11-03,11.47,2.09,-81.8,165,WT_SELL,True,CRBU
2008-08-11,2009-08-17,13.51,19.67,45.5,53,WT_SELL,True,CRI
2010-02-22,2010-05-03,21.15,22.33,5.6,10,WT_SELL,False,CRI
2010-11-15,2011-12-19,22.14,28.78,30.0,57,WT_SELL+,False,CRI
2012-01-02,2012-04-02,29.91,36.81,23.0,13,WT_SELL+,False,CRI
2013-01-28,2013-06-10,44.67,53.54,19.8,19,WT_SELL+,False,CRI
2014-03-10,2015-06-29,57.35,81.24,41.6,68,WT_SELL+,False,CRI
2016-04-25,2018-01-08,81.04,92.72,14.4,89,WT_SELL+,False,CRI
2019-04-01,2024-03-25,81.98,76.77,-6.4,260,WT_SELL+,True,CRI
2026-01-12,2026-03-02,35.73,33.44,-6.4,7,WT_SELL,True,CRI
2019-05-13,2020-12-21,11.62,10.02,-13.8,84,WT_SELL+,False,CRLBF
2018-08-27,2019-03-04,9.88,21.74,120.0,27,WT_SELL+,False,CRON
2020-11-23,2021-02-22,8.47,10.45,23.4,13,WT_SELL+,True,CRON
2024-03-25,2024-05-27,2.61,2.59,-0.8,9,WT_SELL,True,CRON
2025-08-11,2025-10-06,2.37,2.51,5.9,8,WT_SELL,True,CRON
2007-11-12,2008-01-07,17.76,21.64,21.8,8,WT_SELL+,False,CSIQ
2008-05-12,2008-06-09,44.9,39.0,-13.1,4,WT_SELL+,False,CSIQ
2009-05-18,2009-08-24,10.01,15.19,51.7,14,WT_SELL,False,CSIQ
2009-11-30,2010-01-11,23.0,25.93,12.7,6,WT_SELL+,False,CSIQ
2012-12-31,2013-08-05,3.8,13.23,248.2,31,WT_SELL+,False,CSIQ
2014-09-01,2019-03-11,38.58,23.29,-39.6,236,WT_SELL+,False,CSIQ
2020-07-13,2020-09-14,23.43,29.28,25.0,9,WT_SELL+,False,CSIQ
2020-11-23,2021-02-01,44.17,57.88,31.0,10,WT_SELL+,False,CSIQ
2022-08-15,2025-12-01,42.01,23.84,-43.3,172,WT_SELL+,False,CSIQ
2012-12-24,2013-02-25,1.54,2.2,42.4,9,WT_SELL,True,DQ
2013-09-16,2013-10-28,4.42,6.27,41.9,6,WT_SELL+,False,DQ
2014-09-08,2016-05-23,9.54,4.94,-48.2,89,WT_SELL,False,DQ
2017-07-31,2017-12-11,5.52,9.43,70.9,19,WT_SELL+,False,DQ
2019-01-28,2019-07-08,6.96,8.53,22.7,23,WT_SELL,False,DQ
2019-08-26,2019-09-23,10.32,8.91,-13.7,4,WT_SELL+,False,DQ
2020-01-06,2020-03-02,11.21,11.8,5.2,8,WT_SELL,False,DQ
2020-06-29,2020-08-24,17.03,25.03,47.0,8,WT_SELL+,False,DQ
2020-09-28,2020-11-02,29.76,44.56,49.7,5,WT_SELL+,False,DQ
2022-05-30,2025-11-24,55.08,31.68,-42.5,182,WT_SELL,True,DQ
